,0
0,2.6453915
1,1.2312763
2,1.3272939
3,1.4160069
4,2.109601
5,0.92118657
6,0.43730906
7,0.1702707
8,0.27891695
9,0.4170248
10,0.5105052
11,0.32993957
12,0.0
13,0.040389217
14,0.0
15,0.0695818
16,0.0
17,0.0
18,1.7272332
19,0.82773525
20,0.14193308
21,1.0336645
22,1.2739488
23,0.48249972
24,1.8689289
25,0.5877337
26,0.2681939
27,1.2791039
28,1.1672348
29,0.5663343
30,0.9590829
31,0.29397672
32,0.93656206
33,0.0
34,0.85438436
35,0.052000076
36,0.0
37,0.6028642
38,0.0
39,0.09705813
40,0.92446756
41,2.070438
42,1.7300735
43,1.4899468
44,1.0188218
45,1.1061482
46,1.4900719
47,0.95021755
48,1.8486459
49,0.7846586
50,0.4068132
51,1.3281918
52,1.3341879
53,0.71879977
54,1.0929613
55,0.8714016
56,0.95694107
57,1.1409228
58,0.49755698
59,0.0002753064
60,0.0
61,0.4427432
62,0.80971277
63,1.2021974
64,1.0623884
65,2.5102134
66,2.8672783
67,1.9407536
68,1.7424849
69,0.93924695
70,1.3334428
71,1.5078418
72,2.2611988
73,0.6327097
74,0.040879212
75,1.8442688
76,1.4757938
77,0.81942296
78,0.35615557
79,0.0
80,0.89980996
81,0.0
82,0.76227796
83,0.20817459
84,0.23694536
85,0.61060184
86,0.2049833
87,1.3742223
88,0.5109207
89,1.485052
90,1.9553928
91,2.6183736
92,0.714338
93,3.0293365
94,1.3853544
95,1.4652237
96,1.721885
97,0.34344095
98,0.5227841
99,0.7659706
100,1.2712829
101,0.6745651
102,0.44791973
103,0.9328404
104,1.2310137
105,0.46734905
106,0.7495078
107,0.0
108,0.36737996
109,0.653686
110,0.51288193
111,0.4963623
112,0.61922723
113,1.5940076
114,2.602508
115,2.1102993
116,0.7085743
117,1.9689674
118,1.4446754
119,0.69870746
120,1.7224735
121,1.5889044
122,1.0458663
123,1.1071914
124,1.4178141
125,1.3302376
126,1.2309252
127,0.37286592
128,0.998477
129,0.5597825
130,1.1034937
131,0.5659542
132,0.6748783
133,1.0178444
134,0.45355466
135,0.87280464
136,1.3710397
137,1.6800042
138,1.2135658
139,2.3038359
140,2.2701223
141,2.102246
142,1.8630236
143,1.9340969
144,1.8221129
145,1.1525337
146,0.5249222
147,0.75396067
148,1.060801
149,0.87039006
150,1.286479
151,0.0
152,0.96536064
153,0.8661746
154,0.9937071
155,0.3254551
156,0.009535957
